id_empregado;primeironome;nomemeio;ultimonome;namestyle;datanascimento;email;telefone;sexo;departamento
9;JoLynn                                            ;M                                                 ;Dobney                                            ;N;1955/08/16 00:00:00.000000000;jolynn0@adventure-works.com                       ;903-555-0145             ;F;Production                                        
10;Ruth                                              ;Ann                                               ;Ellerbrock                                        ;N;1956/01/03 00:00:00.000000000;ruth0@adventure-works.com                         ;145-555-0130             ;F;Production                                        
12;Barry                                             ;K                                                 ;Johnson                                           ;N;1955/10/25 00:00:00.000000000;barry0@adventure-works.com                        ;206-555-0180             ;M;Production                                        
15;Sidney                                            ;M                                                 ;Higa                                              ;N;1956/03/30 00:00:00.000000000;sidney0@adventure-works.com                       ;424-555-0189             ;M;Production                                        
16;Taylor                                            ;R                                                 ;Maxwell                                           ;N;1955/10/31 00:00:00.000000000;taylor0@adventure-works.com                       ;508-555-0165             ;M;Production                                        
17;Jeffrey                                           ;L                                                 ;Ford                                              ;N;1956/02/09 00:00:00.000000000;jeffrey0@adventure-works.com                      ;984-555-0185             ;M;Production                                        
18;Jo                                                ;A                                                 ;Brown                                             ;N;1956/05/08 00:00:00.000000000;jo0@adventure-works.com                           ;632-555-0129             ;F;Production                                        
19;Doris                                             ;M                                                 ;Hartwig                                           ;N;1955/11/03 00:00:00.000000000;doris0@adventure-works.com                        ;328-555-0150             ;F;Production                                        
20;John                                              ;T                                                 ;Campbell                                          ;N;1956/03/07 00:00:00.000000000;john0@adventure-works.com                         ;435-555-0113             ;M;Production                                        
21;Diane                                             ;R                                                 ;Glimp                                             ;N;1955/10/28 00:00:00.000000000;diane0@adventure-works.com                        ;202-555-0151             ;F;Production                                        
22;Steven                                            ;T                                                 ;Selikoff                                          ;N;1976/12/12 00:00:00.000000000;steven0@adventure-works.com                       ;925-555-0114             ;M;Production                                        
23;Peter                                             ;J                                                 ;Krebs                                             ;N;1982/06/03 00:00:00.000000000;peter0@adventure-works.com                        ;913-555-0196             ;M;Production Control                                
24;Stuart                                            ;V                                                 ;Munson                                            ;N;1962/04/13 00:00:00.000000000;stuart0@adventure-works.com                       ;413-555-0136             ;M;Production                                        
25;Greg                                              ;F                                                 ;Alderson                                          ;N;1975/11/15 00:00:00.000000000;greg0@adventure-works.com                         ;332-555-0150             ;M;Production                                        
26;David                                             ;N                                                 ;Johnson                                           ;N;1979/06/02 00:00:00.000000000;david1@adventure-works.com                        ;166-555-0162             ;M;Production                                        
27;Zheng                                             ;W                                                 ;Mu                                                ;N;1983/05/26 00:00:00.000000000;zheng0@adventure-works.com                        ;113-555-0173             ;M;Production                                        
28;Ivo                                               ;William                                           ;Salmre                                            ;N;1981/08/03 00:00:00.000000000;ivo0@adventure-works.com                          ;115-555-0179             ;M;Production                                        
29;Paul                                              ;B                                                 ;Komosinski                                        ;N;1980/06/13 00:00:00.000000000;paul0@adventure-works.com                         ;147-555-0160             ;M;Production                                        
31;Kendall                                           ;C                                                 ;Keil                                              ;N;1985/12/28 00:00:00.000000000;kendall0@adventure-works.com                      ;138-555-0128             ;M;Production                                        
33;Alejandro                                         ;E                                                 ;McGuel                                            ;N;1988/07/05 00:00:00.000000000;alejandro0@adventure-works.com                    ;668-555-0130             ;M;Production                                        
34;Garrett                                           ;R                                                 ;Young                                             ;N;1984/03/25 00:00:00.000000000;garrett0@adventure-works.com                      ;609-555-0179             ;M;Production                                        
